,Handle,Date,Compound,Positive,Neutral,Negative,Tweet Text,Tweets Ago
126,BBCWorld,Fri Apr 27 11:10:18 +0000 2018,0.0,0.0,1.0,0.0,Cardi B is being sued by her former manager for £7m https://t.co/aDXZqijAVZ,27
127,BBCWorld,Fri Apr 27 10:34:50 +0000 2018,0.0,0.0,1.0,0.0,Harry Potter star Tom Felton set for new YouTube sci-fi series Origin https://t.co/V8lwj4ivzl,28
128,BBCWorld,Fri Apr 27 10:29:26 +0000 2018,-0.5994,0.0,0.698,0.302,North Korea: Otto Warmbier's family sues over son's death https://t.co/tEnhyoy23z,29
129,BBCWorld,Fri Apr 27 10:15:17 +0000 2018,0.0,0.0,1.0,0.0,How to handle the flood of GDPR privacy updates https://t.co/TVltjNM07l,30
130,BBCWorld,Fri Apr 27 09:55:18 +0000 2018,0.2732,0.208,0.792,0.0,Five times Kanye West took us by surprise https://t.co/8sadUUC6Wl,31
131,BBCWorld,Fri Apr 27 09:47:05 +0000 2018,0.0,0.0,1.0,0.0,Wildlife photo competition disqualifies 'stuffed anteater' image https://t.co/X0WI8FFg6D,32
132,BBCWorld,Fri Apr 27 09:44:14 +0000 2018,-0.765,0.0,0.577,0.423,Israel floods: Arrests as 10 teens drown on school trip https://t.co/isM4x6llRt,33
133,BBCWorld,Fri Apr 27 09:44:12 +0000 2018,-0.4767,0.0,0.693,0.307,IS web media targeted in EU-led attack https://t.co/KZuNoxnqZh,34
134,BBCWorld,Fri Apr 27 09:18:59 +0000 2018,0.0,0.0,1.0,0.0,Koreas make nuclear pledge after summit https://t.co/WSBC9TZn59,35
135,BBCWorld,Fri Apr 27 07:16:24 +0000 2018,0.0,0.0,1.0,0.0,K-pop superstars BTS launch world tour https://t.co/iGF9YBajCg,36
136,BBCWorld,Fri Apr 27 07:10:33 +0000 2018,0.0,0.0,1.0,0.0,Real-life Transformer: The Japanese robot that becomes a car https://t.co/ES9J4wDTmN,37
137,BBCWorld,Fri Apr 27 06:57:17 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCBreaking: #interkoreansummit

• Kim Jong-un crosses into South Korea
• First North Korean leader to do so since the end of the Korea…",38
138,BBCWorld,Fri Apr 27 06:26:42 +0000 2018,0.0,0.0,1.0,0.0,"A joint declaration will be signed at the end of today's https://t.co/TaMkQQTxAN's what we can expect. 
https://t.co/0r9P8EPdhX",39
139,BBCWorld,Fri Apr 27 06:01:14 +0000 2018,-0.8462,0.0,0.574,0.426,"DNA linked the crimes but police had struggled to identify the attacker.
https://t.co/2BWkGTvdmz",40
140,BBCWorld,Fri Apr 27 05:07:03 +0000 2018,0.0,0.0,1.0,0.0,"From loudspeakers to balloons: How the Koreas wind each other up
https://t.co/hfg6YGsryO",41
141,BBCWorld,Fri Apr 27 04:21:53 +0000 2018,0.0,0.0,1.0,0.0,The handshake that made history. https://t.co/JB09Ce9mHt,42
142,BBCWorld,Fri Apr 27 03:23:41 +0000 2018,0.7269,0.357,0.643,0.0,Does Trump deserve the credit for peace talks with North Korea? https://t.co/nb7NsFvrX7 https://t.co/V3oXSutUug,43
143,BBCWorld,Fri Apr 27 03:19:10 +0000 2018,-0.7579,0.0,0.519,0.481,Golden State Killer suspect traced using genealogy websites https://t.co/yQdFHhlT2n,44
144,BBCWorld,Fri Apr 27 03:16:28 +0000 2018,0.0,0.0,1.0,0.0,Australia's Crown casino fined for 'blanking' slot machines https://t.co/XThBetqmPm,45
145,BBCWorld,Fri Apr 27 02:46:46 +0000 2018,0.128,0.12,0.88,0.0,"History has been created, but the real work has just begun. https://t.co/YbVvpPL9v3",46
146,BBCWorld,Fri Apr 27 02:15:08 +0000 2018,-0.5574,0.0,0.714,0.286,EU member states to vote on near-total neonicotinoids ban https://t.co/mD24VbaA9q,47
147,BBCWorld,Fri Apr 27 02:07:27 +0000 2018,0.0,0.0,1.0,0.0,A brief but seismic chat between the two Korean leaders. https://t.co/JZUaZxGSqX,48
148,BBCWorld,Fri Apr 27 02:02:56 +0000 2018,0.4019,0.278,0.722,0.0,Crossing Divides: Turkish schools help Syrians integrate https://t.co/eDS9AmYv5u,49
149,BBCWorld,Fri Apr 27 01:48:10 +0000 2018,0.4019,0.231,0.769,0.0,Special master appointed in Trump lawyer Michael Cohen's case https://t.co/ztSrVzBswQ,50
150,BBCWorld,Fri Apr 27 01:42:12 +0000 2018,0.0,0.0,1.0,0.0,A turning point for the Korean peninsula? https://t.co/Gt5AKDmO5s,51
151,BBCWorld,Fri Apr 27 01:27:46 +0000 2018,0.0,0.0,1.0,0.0,Meet the ex-miners who are now walking on water https://t.co/hhZvmhCb3i,52
152,BBCWorld,Fri Apr 27 01:15:11 +0000 2018,0.5423,0.137,0.863,0.0,"What Kim wrote in the guest book at Peace House just after crossing the border.
""A new history begins now - at the… https://t.co/8y9xJqwaj4",53
153,BBCWorld,Fri Apr 27 01:00:24 +0000 2018,0.0,0.0,1.0,0.0,Kim Jong-un crosses Korean border for summit https://t.co/VRPFj6vCF2,54
154,BBCWorld,Fri Apr 27 00:41:59 +0000 2018,0.0,0.0,1.0,0.0,A seismic moment in the history of the Korean peninsula. Follow live updates here: https://t.co/vv5uV87fJX https://t.co/AExpnrcL1h,55
155,BBCWorld,Fri Apr 27 00:31:50 +0000 2018,0.0,0.0,1.0,0.0,"Kim Jong-un becomes the first North Korean leader to cross the line dividing the Koreas, ahead of a historic summit. https://t.co/TOLeNnsK3U",56
156,BBCWorld,Thu Apr 26 23:58:43 +0000 2018,-0.3321,0.0,0.792,0.208,Merkel visits Trump - so will she envy Macron's bromance? https://t.co/tAzIzMuX1R,57
157,BBCWorld,Thu Apr 26 23:52:39 +0000 2018,-0.4404,0.0,0.775,0.225,Patricia Fox: The elderly nun the Philippines plans to expel https://t.co/CLzsiHAie0,58
158,BBCWorld,Thu Apr 26 23:49:24 +0000 2018,0.0,0.0,1.0,0.0,Africa's week in pictures: 20-26 April 2018 https://t.co/quzzCg0194,59
159,BBCWorld,Thu Apr 26 23:46:39 +0000 2018,0.128,0.263,0.511,0.226,The community trying to unite rich and poor https://t.co/30rFX5Lb2B,60
160,BBCWorld,Thu Apr 26 23:43:29 +0000 2018,0.0,0.0,1.0,0.0,Cricket fans stump up cash for Iceland national team https://t.co/h4OD4Jdd0T,61
161,BBCWorld,Thu Apr 26 23:22:36 +0000 2018,0.34,0.286,0.714,0.0,How police line-ups jail the innocent https://t.co/Xv89689Rtx,62
162,BBCWorld,Thu Apr 26 23:19:50 +0000 2018,0.25,0.154,0.846,0.0,South Korea fishermen sail near the North and dream of unification https://t.co/TaxSdBrvtV,63
163,BBCWorld,Thu Apr 26 23:16:55 +0000 2018,-0.6249,0.0,0.579,0.421,Alberto Fujimori: Peru ex-president faces forced sterilisation charges https://t.co/eygciAcIQc,64
164,BBCWorld,Thu Apr 26 21:23:30 +0000 2018,0.0,0.0,1.0,0.0,Kim Jong-un to meet Moon Jae-in at Korean border for summit https://t.co/GdTo2OoSfH,65
165,BBCWorld,Thu Apr 26 21:03:08 +0000 2018,-0.7717,0.0,0.544,0.456,Spain 'wolf pack' case: Thousands protest over rape ruling https://t.co/prsg84Bg23,66
166,BBCWorld,Thu Apr 26 19:53:12 +0000 2018,-0.4215,0.0,0.877,0.123,"Lawyer for ex basketball player Andrea Constand pays tribute to her client, after Bill Cosby was found guilty of se… https://t.co/EQJbIH8AWM",67
167,BBCWorld,Thu Apr 26 19:52:41 +0000 2018,0.0,0.0,1.0,0.0,"Double amputee crawls up Colorado's 2,700-step Manitou Incline https://t.co/6GJ8ULEtkv",68
168,BBCWorld,Thu Apr 26 19:50:19 +0000 2018,0.6597,0.474,0.526,0.0,How Israeli-Palestinian peace accord was prepared https://t.co/RK7NP2uVGh #CrossingDivides,69
169,BBCWorld,Thu Apr 26 19:33:15 +0000 2018,0.2235,0.09,0.91,0.0,"""Money and power or who you are will not stop us from... prosecuting a case"" - District Attorney Kevin Steele makes… https://t.co/xWhONv4Rnd",70
170,BBCWorld,Thu Apr 26 18:59:53 +0000 2018,0.0,0.0,1.0,0.0,Gloria Allred on Bill Cosby: 'Finally women are believed' https://t.co/MJROJeIlxt,71
171,BBCWorld,Thu Apr 26 18:34:47 +0000 2018,-0.4767,0.0,0.763,0.237,Russia says its witnesses discredit alleged chemical attack in Syria https://t.co/cmMdFVtLf1,72
172,BBCWorld,Thu Apr 26 18:31:46 +0000 2018,-0.6486,0.0,0.677,0.323,Israel flash flood: Nine teenaged hikers dead in south https://t.co/vnxHqz3AZk,73
173,BBCWorld,Thu Apr 26 18:21:50 +0000 2018,0.2023,0.231,0.769,0.0,Flirting across the India-Pakistan border https://t.co/61q9LWu3UR #CrossingDivides,74
174,BBCWorld,Thu Apr 26 18:00:20 +0000 2018,-0.5859,0.0,0.612,0.388,Bill Cosby 'guilty' of sexual assault https://t.co/GUPben1CS8,75
175,BBCWorld,Thu Apr 26 17:51:17 +0000 2018,0.0,0.0,1.0,0.0,Trump lets off steam in TV interview https://t.co/DrcfZQTabH,76
176,BBCWorld,Thu Apr 26 17:36:05 +0000 2018,-0.5994,0.0,0.83,0.17,"RT @BBCNewsbeat: Avicii's family has released a new statement about his death, saying he ""could not go on any longer"" https://t.co/qQnRI0R3…",77
177,BBCWorld,Thu Apr 26 17:16:34 +0000 2018,0.0,0.0,1.0,0.0,EX-CIA chief Mike Pompeo confirmed as secretary of state https://t.co/CsGuLME5vK,78
178,BBCWorld,Thu Apr 26 17:15:44 +0000 2018,0.0,0.0,1.0,0.0,Can Nigeria's new tin mine heal ancient wounds? https://t.co/bx8pe87A6x #CrossingDivides,79
179,BBCWorld,Thu Apr 26 16:53:33 +0000 2018,0.0,0.0,1.0,0.0,Nestlé withdraws 'degrading' wife-hunt ad campaign in Morocco https://t.co/baLF5Tplb4,80
180,BBCWorld,Thu Apr 26 16:32:44 +0000 2018,-0.5267,0.0,0.726,0.274,Revenge porn hub taken down by Dutch police raid https://t.co/pPKcRn6STV,81
181,BBCWorld,Thu Apr 26 16:13:22 +0000 2018,0.5423,0.28,0.72,0.0,RT @BBCNews: Two ex-child soldiers forge peace bonds https://t.co/KWNhYSwRfq #CrossingDivides,82
182,BBCWorld,Thu Apr 26 16:00:21 +0000 2018,0.0,0.0,1.0,0.0,"RT @BBCSport: Some female runners with high testosterone must race male athletes under new rules, unless they take medication for six month…",83
183,BBCWorld,Thu Apr 26 15:58:25 +0000 2018,0.4767,0.22,0.78,0.0,North and South Korea summit: The people Kim trusts the most https://t.co/25cMKqxa4q,84
184,BBCWorld,Thu Apr 26 15:29:14 +0000 2018,0.1926,0.129,0.774,0.098,"Where do you stand on gun control?

Could more guns make our streets safer?

Take part in our interactive conversat… https://t.co/d22aQ8PYTQ",85
185,BBCWorld,Thu Apr 26 15:27:25 +0000 2018,-0.5423,0.0,0.64,0.36,Philippines protests as Kuwait expels envoy over maid 'rescues' https://t.co/38RIK8o1Kq,86
186,BBCWorld,Thu Apr 26 15:13:22 +0000 2018,0.2023,0.141,0.859,0.0,Brigitte Macron on life at the top as France's first lady https://t.co/Qc7To15K3i,87
187,BBCWorld,Thu Apr 26 14:40:42 +0000 2018,-0.5023,0.0,0.809,0.191,"RT @BBC_HaveYourSay: Loot boxes officially banned in Belgium 🚫🎁🇧🇪

Fifa 18, Overwatch and Counter-Strike all violating the law... but Star…",88
188,BBCWorld,Thu Apr 26 14:25:39 +0000 2018,-0.3612,0.0,0.783,0.217,"India state records 36,749 lightning strikes in 13 hours https://t.co/mIAxFXzFWx",89
189,BBCWorld,Thu Apr 26 14:21:59 +0000 2018,0.0,0.0,1.0,0.0,Athlete Semenya hit by testosterone rules https://t.co/dcgnoAb8ZX,90
190,BBCWorld,Thu Apr 26 14:05:53 +0000 2018,0.6705,0.44,0.56,0.0,Tokio boy band member apologises for kissing schoolgirl https://t.co/yuLuyKHQ4O,91
191,BBCWorld,Thu Apr 26 14:05:33 +0000 2018,0.7717,0.369,0.539,0.091,"Mia is Jewish. Aya is Arab. But thanks to a rare integrated school, they're good friends. https://t.co/s2MqrGJrBJ… https://t.co/oJQsVGS47o",92
192,BBCWorld,Thu Apr 26 13:56:27 +0000 2018,-0.0927,0.102,0.738,0.161,"RT @BBC_HaveYourSay: Many refugees face problems of isolation, but things can be particularly challenging for those who are Deaf. #Crossing…",93
193,BBCWorld,Thu Apr 26 13:23:38 +0000 2018,0.34,0.098,0.902,0.0,"RT @BBCSport: Zlatan Ibrahimovic will not be coming out of retirement to play for Sweden at the 2018 World Cup in Russia.

👉 https://t.co/t…",94
194,BBCWorld,Thu Apr 26 13:10:19 +0000 2018,0.0,0.0,1.0,0.0,Trump veterans nominee Ronny Jackson bows out amid allegations https://t.co/Xj1kdBD8ab,95
195,BBCWorld,Thu Apr 26 12:38:19 +0000 2018,-0.6486,0.0,0.583,0.417,Late author 'helped catch serial killer' https://t.co/YD7YiMPWNo,96
196,BBCWorld,Thu Apr 26 12:36:38 +0000 2018,0.0,0.0,1.0,0.0,"This mesmerising footage shows the lava lake overflowing in Hawaii's Kilauea volcano 🌋

https://t.co/PTtfRq7ksg https://t.co/Xab60CNdTX",97
197,BBCWorld,Thu Apr 26 12:16:07 +0000 2018,0.0,0.0,1.0,0.0,'Real bodies' exhibition causes controversy in Australia https://t.co/HOSYGcC2gN,98
198,BBCWorld,Thu Apr 26 11:53:14 +0000 2018,-0.836,0.0,0.503,0.497,Pamplona 'wolf pack' gang jailed over rape in Spain https://t.co/KY9dQXFRI7,99
199,BBCWorld,Thu Apr 26 11:30:35 +0000 2018,0.0,0.0,1.0,0.0,Michael Cohen: Trump's lawyer to plead Fifth Amendment in Daniels case https://t.co/DgWUXNDQ4A,100
200,FoxNews,Sat Apr 28 06:07:00 +0000 2018,0.0,0.0,1.0,0.0,".@RCamposDuffy: ""Germany needs America more than we need them in trade."" https://t.co/jykRVEFHcv",1
201,FoxNews,Sat Apr 28 06:00:00 +0000 2018,0.0,0.0,1.0,0.0,".@NancyPelosi: ""I don't think we should be talking about impeachment."" https://t.co/II972YXNI7",2
202,FoxNews,Sat Apr 28 05:56:00 +0000 2018,0.6249,0.227,0.773,0.0,".@deneenborelli: ""I think it's great that @kanyewest is standing up for independent thought."" #Hannity https://t.co/FSg0CeTsJ0",3
203,FoxNews,Sat Apr 28 05:51:00 +0000 2018,-0.296,0.0,0.864,0.136,"President @realDonaldTrump: ""There was no collusion between the Trump campaign and the Russian people."" https://t.co/EkcXV3kHlL",4
204,FoxNews,Sat Apr 28 05:50:00 +0000 2018,0.3818,0.191,0.809,0.0,".@MorganOrtagus: ""@POTUS deserves a ton of credit for what happened today."" #Hannity https://t.co/dLp9SKFiZm",5
205,FoxNews,Sat Apr 28 05:48:00 +0000 2018,-0.7717,0.0,0.675,0.325,".@JudgeJeanine: ""The frenzy and the hysteria that we've been hearing about from the left criticizing Kanye is remin… https://t.co/nNRhoe3VWT",6
206,FoxNews,Sat Apr 28 05:40:00 +0000 2018,-0.5106,0.0,0.602,0.398,".@JesseBWatters: ""McCabe's a liar. @Comey's a liar."" https://t.co/25qM66syan",7
207,FoxNews,Sat Apr 28 05:39:00 +0000 2018,-0.3597,0.0,0.878,0.122,".@RepMattGaetz: ""We have some Senate Republicans who are more worried about protecting Bob Mueller than they are ab… https://t.co/qvgatVkaQH",8
208,FoxNews,Sat Apr 28 05:33:00 +0000 2018,0.0,0.0,1.0,0.0,Fox News Poll: WV GOP Senate primary. https://t.co/hnGd01noFJ,9
209,FoxNews,Sat Apr 28 05:26:00 +0000 2018,0.0,0.0,1.0,0.0,".@PastorDScott: ""@kanyewest is his own man, and he has a long relationship with @POTUS, and he's told himself, 'I'm… https://t.co/QJ2BIKCBNQ",10
210,FoxNews,Sat Apr 28 05:14:00 +0000 2018,-0.4536,0.0,0.851,0.149,".@RepDesantis: ""It's really, really crazy to hear [@Comey] try to say that Republicans funded Christopher Steele an… https://t.co/bfzc29My0A",11
211,FoxNews,Sat Apr 28 04:52:00 +0000 2018,0.0,0.0,1.0,0.0,"On @TheFive, @RealCandaceO slammed liberals for stifling independent thought. https://t.co/wZAWBIOAlW https://t.co/wQ5Ky5JNeD",12
212,FoxNews,Sat Apr 28 04:52:00 +0000 2018,0.0,0.0,1.0,0.0,U.S. stock market - this week. https://t.co/aYmPHshiDa,13
213,FoxNews,Sat Apr 28 04:48:00 +0000 2018,-0.7906,0.0,0.6,0.4,".@MZHemingway: ""After a year of rigorous investigation, there's no actual evidence of treasonous collusion between… https://t.co/lMZKgc3i0U",14
214,FoxNews,Sat Apr 28 04:44:00 +0000 2018,-0.2006,0.0,0.893,0.107,".@DonBlankenship: ""This country needs be very tough on drugs, and that's what I'll be."" #TheStory… https://t.co/jxcIvLeCXO",15
215,FoxNews,Sat Apr 28 04:38:00 +0000 2018,-0.8069,0.0,0.712,0.288,"President @realDonaldTrump: ""I'll be watching people that failed so badly over the last 25 years explaining to me h… https://t.co/5AKmg6NTWH",16
216,FoxNews,Sat Apr 28 04:35:00 +0000 2018,0.0,0.0,1.0,0.0,".@charliekirk11: ""Why are black people voting for Democrats at a 95% clip? @TheDemocrats and their policies are the… https://t.co/0uoBERsmvN",17
217,FoxNews,Sat Apr 28 04:30:00 +0000 2018,0.2732,0.13,0.87,0.0,".@SenatorTimScott: ""@chancetherapper said it well - because you're black does not mean you're a Democrat. Period."" https://t.co/52RTZLZj7z",18
218,FoxNews,Sat Apr 28 04:00:00 +0000 2018,0.4168,0.148,0.852,0.0,".@THEHermanCain: ""The American people - including some Democrats - are not stupid. We've had enough evidence come o… https://t.co/0cYxTKm5bE",19
219,FoxNews,Sat Apr 28 03:54:00 +0000 2018,0.2732,0.13,0.87,0.0,".@SenatorTimScott: ""@chancetherapper said it well - because you're black does not mean you're a Democrat. Period."" https://t.co/g5n3TC3eLh",20
220,FoxNews,Sat Apr 28 03:43:00 +0000 2018,0.0,0.0,1.0,0.0,".@RealCandaceO: ""I knew that it was going to be @kanyewest to sort of break through this sort of matrix and group t… https://t.co/qq4dV7vUBP",21
221,FoxNews,Sat Apr 28 03:36:00 +0000 2018,0.0,0.0,1.0,0.0,MAY 1st: The West Virginia GOP Senate Primary Debate moderated by @BretBaier and @marthamaccallum - Tune in at 6:30… https://t.co/5wb0K3PVRg,22
222,FoxNews,Sat Apr 28 03:32:00 +0000 2018,0.2263,0.095,0.905,0.0,"Earlier tonight, @HillaryClinton called for the FEC to allow candidates to use campaign funds for childcare when th… https://t.co/6hj8Wksi1z",23
223,FoxNews,Sat Apr 28 03:31:59 +0000 2018,0.4939,0.176,0.824,0.0,"On #IngrahamAngle, Andrew Stein decried what @TheDemocrats have become and praised the record of President… https://t.co/q29YLtItrL",24
224,FoxNews,Sat Apr 28 03:22:57 +0000 2018,0.0,0.0,1.0,0.0,"On @foxandfriends, @SenatorTimScott seconded @chancetherapper's statement: ""Black people don’t have to be democrats… https://t.co/4l05VOjav6",25
225,FoxNews,Sat Apr 28 03:19:34 +0000 2018,-0.2006,0.0,0.914,0.086,".@RichardGrenell: ""@POTUS really took time with the Chancellor... He can be very tough on the negotiation and he ca… https://t.co/4OfJExX0OK",26
226,FoxNews,Sat Apr 28 03:15:25 +0000 2018,0.0,0.0,1.0,0.0,"Tom Brokaw drops out as college commencement speaker amid sexual misconduct claims, school says https://t.co/fT13Q1v2Ae",27
227,FoxNews,Sat Apr 28 03:11:40 +0000 2018,0.0,0.0,1.0,0.0,".@ShannonBream: ""You are openly gay and probably considered one of the highest-ranking members within the Trump Adm… https://t.co/2EzUXsZ7tz",28
228,FoxNews,Sat Apr 28 03:09:36 +0000 2018,-0.2006,0.0,0.914,0.086,".@RichardGrenell: ""@POTUS really took time with the Chancellor... He can be very tough on the negotiation and he ca… https://t.co/cAMU0GToNk",29
229,FoxNews,Sat Apr 28 03:07:26 +0000 2018,0.4927,0.197,0.803,0.0,".@RichardGrenell: ""[@realDonaldTrump's] a master negotiator. @POTUS is very good at what he does."" #FoxNewsatNight https://t.co/ECITiLOdYM",30
230,FoxNews,Sat Apr 28 03:06:15 +0000 2018,-0.1796,0.117,0.736,0.147,".@RichardGrenell: ""I'm very excited to be concerned... I've talked about the Russian threat in Eastern Europe for a… https://t.co/ufPPoInGXl",31
231,FoxNews,Sat Apr 28 03:04:52 +0000 2018,-0.4215,0.124,0.619,0.257,"'Clear double standard': As @Comey denies illegally leaking memo, others prosecuted for mishandling classified mate… https://t.co/3jFFUrWCee",32
232,FoxNews,Sat Apr 28 03:02:00 +0000 2018,0.872,0.452,0.548,0.0,".@grecianformula: After North Korea triumph Trump deserves the Nobel Peace Prize, not Obama https://t.co/STZpI9h7Yn https://t.co/BgoFEEcHYj",33
233,FoxNews,Sat Apr 28 03:01:08 +0000 2018,0.4404,0.244,0.756,0.0,".@hamzaskhan: ""@realDonaldTrump is benefiting from @BarackObama's good work."" #IngrahamAngle https://t.co/hlcA8VRTxX",34
234,FoxNews,Sat Apr 28 02:59:22 +0000 2018,0.6597,0.265,0.735,0.0,"Andrew Stein: ""The Democratic Party's become a far-left party, a one-drum party which is 'Resist Trump' - the fact… https://t.co/cFQcH1J8uE",35
235,FoxNews,Sat Apr 28 02:55:07 +0000 2018,0.0,0.0,1.0,0.0,".@NancyPelosi: ""I don't think we should be talking about impeachment."" https://t.co/BgJOBwHrc0",36
236,FoxNews,Sat Apr 28 02:52:22 +0000 2018,0.6249,0.267,0.733,0.0,"Poll: If Democrats win the House in 2018, do you want them to impeach @POTUS? https://t.co/SAWijg4QfL",37
237,FoxNews,Sat Apr 28 02:50:14 +0000 2018,-0.875,0.0,0.583,0.417,.@newtgingrich: Alfie Evans is condemned to die at 23 months because of Britain's scary secular state https://t.co/6BYqa1ojuH,38
238,FoxNews,Sat Apr 28 02:50:00 +0000 2018,0.0,0.0,1.0,0.0,TUNE IN: Ambassador to Germany @RichardGrenell gives his first post-confirmation interview to @ShannonBream. Watch… https://t.co/WZ83zNHRix,39
239,FoxNews,Sat Apr 28 02:43:39 +0000 2018,-0.4466,0.0,0.804,0.196,"Moments ago, President @realDonaldTrump once more asserted that there was ""NO COLLUSION."" https://t.co/5Le08vaWC3",40
240,FoxNews,Sat Apr 28 02:42:48 +0000 2018,-0.5859,0.124,0.56,0.316,'They Dragged Him in the Street &amp; Killed Him': @RepMattGaetz Claims 'Obstructionist' Congress has Lower Approval th… https://t.co/0QwCexkS1z,41
241,FoxNews,Sat Apr 28 02:38:23 +0000 2018,0.4215,0.135,0.865,0.0,"""Basically all of Honduras then should be able to come to the United States?""

@IngrahamAngle goes one-on-one with… https://t.co/qzYXi4Mmr8",42
242,FoxNews,Sat Apr 28 02:31:14 +0000 2018,-0.4215,0.124,0.619,0.257,"'Clear double standard': As Comey denies illegally leaking memo, others prosecuted for mishandling classified mater… https://t.co/BWsJ0i9tDH",43
243,FoxNews,Sat Apr 28 02:24:25 +0000 2018,0.3182,0.161,0.839,0.0,New York firefighter vacationing in North Carolina rescues 3 girls  from rip current https://t.co/sWh7PuoC8a,44
244,FoxNews,Sat Apr 28 02:22:55 +0000 2018,-0.6486,0.0,0.71,0.29,Florida woman arrested after allegedly hiding plastic key in chicken sandwich on jail visit https://t.co/lMPgx7Wiiw,45
245,FoxNews,Sat Apr 28 02:10:59 +0000 2018,0.0,0.0,1.0,0.0,"President @realDonaldTrump said he gets ""a big, big kick"" out of establishment political actors telling him what to… https://t.co/4HZKe8YXvl",46
246,FoxNews,Sat Apr 28 02:07:18 +0000 2018,0.5423,0.241,0.759,0.0,"Michael Pillsbury: ""Perhaps @POTUS has earned two Nobel Peace Prizes."" #IngrahamAngle https://t.co/Q7ehk5fkFl",47
247,FoxNews,Sat Apr 28 02:00:00 +0000 2018,0.0,0.0,1.0,0.0,"Moments ago on ""#Hannity,"" @JudgeJeanine gave her take on the uproar that has occurred on the left after Kanye West… https://t.co/Rv3mMc2LNh",48
248,FoxNews,Sat Apr 28 01:59:00 +0000 2018,0.4767,0.154,0.846,0.0,"On @foxandfriends, @PastorDScott talked about how the Republicans can begin to make inroads in attracting more Afri… https://t.co/Zv5V06R5xC",49
249,FoxNews,Sat Apr 28 01:53:00 +0000 2018,0.4215,0.183,0.817,0.0,".@RealCandaceO: ""To be a conservative means that you allow independent thinking. They do not allow that on the left… https://t.co/uFCT3Y3FuX",50
250,FoxNews,Sat Apr 28 01:51:00 +0000 2018,0.3818,0.191,0.809,0.0,".@MorganOrtagus: ""@POTUS deserves a ton of credit for what happened today."" #Hannity https://t.co/61QK39In7N",51
251,FoxNews,Sat Apr 28 01:43:45 +0000 2018,-0.8069,0.0,0.712,0.288,"President @realDonaldTrump: ""I'll be watching people that failed so badly over the last 25 years explaining to me h… https://t.co/aI0WLGiLuU",52
252,FoxNews,Sat Apr 28 01:40:02 +0000 2018,0.0,0.0,1.0,0.0,".@charliekirk11: ""Why are black people voting for Democrats at a 95% clip? @TheDemocrats and their policies are the… https://t.co/5Y8W4qzccK",53
253,FoxNews,Sat Apr 28 01:36:09 +0000 2018,0.0,0.0,1.0,0.0,ICE Director on Caravan Arriving at Border: Congress Must Close 'Legislative Loopholes' Now https://t.co/utduiZ6SUE,54
254,FoxNews,Sat Apr 28 01:33:26 +0000 2018,-0.7717,0.0,0.675,0.325,".@JudgeJeanine: ""The frenzy and the hysteria that we've been hearing about from the left criticizing Kanye is remin… https://t.co/6ohsBNtRvG",55
255,FoxNews,Sat Apr 28 01:31:16 +0000 2018,0.6249,0.227,0.773,0.0,".@deneenborelli: ""I think it's great that @kanyewest is standing up for independent thought."" #Hannity https://t.co/UG001r78dM",56
256,FoxNews,Sat Apr 28 01:27:50 +0000 2018,-0.3089,0.0,0.852,0.148,"On ""Hannity,"" @RepMattGaetz slammed Republican politicians who do not support President @realDonaldTrump's agenda. https://t.co/UxD0XX1isx",57
257,FoxNews,Sat Apr 28 01:26:47 +0000 2018,0.296,0.155,0.845,0.0,"On @TheFive, @RealCandaceO decried the Democratic Party's record on helping African Americans.… https://t.co/C80IurXmw1",58
258,FoxNews,Sat Apr 28 01:25:46 +0000 2018,0.0,0.0,1.0,0.0,Central American migrants look at the U.S.-Mexico border. They are part of a 'caravan' that has been traveling thro… https://t.co/F4NhAKHNz1,59
259,FoxNews,Sat Apr 28 01:24:47 +0000 2018,-0.0516,0.103,0.784,0.113,"'Take It to SCOTUS': @kimguilfoyle on President @realDonaldTrump Supporter Who Lost Suit Against Bar That Booted Him
https://t.co/AClIOJ7dKE",60
